Prison Name,Latitude,Longitude,Size
Aroostook County Jail,46.125056,-67.838995,58
Arthurkill,40.55149,-74.228813,918
Ascension Parish Jail,30.100735,-90.929079,460
Ash Street Jail and Regional Lock-Up,41.63376,-70.934258,185
Ashe County Jail,36.420244,-81.467319,41
Ashland County Jail,46.588508,-90.877795,34
Ashley County Jail,33.236588,-91.837049,80
Ashtabula County Jail,41.739346,-80.772034,34
Asotin County Jail,46.413595,-117.044906,47
ASPC - Winslow Apache Unit,34.321966,-109.401592,333
ASPC Florence- Central Unit,33.028872,-111.376725,3958
ASPC Florence-Picacho Unit,32.66142,-111.50797,183
ASPC Phoenix,33.452764,-112.027963,421
ASPC Tucson,32.067693,-110.867819,4116
ASPC Yuma,32.487804,-114.626599,2404
ASPC- Douglas,31.455835,-109.582158,131
ASPC- Douglas,31.460487,-109.591122,2163
ASPC- Eyman,33.036855,-111.330167,5426
ASPC- Lewis,33.209613,-112.6527,5084
ASPC- Perryville,33.468561,-112.448734,1294
ASPC- Perryville,33.470766,-112.435504,2202
ASPC- Winslow,34.991113,-110.721378,1413
ASPC-Kingman,35.032643,-114.179623,1481
Assumption Parish Jail,29.933877,-91.033585,75
Atchison County Jail,39.56512,-95.119727,36
Atchison County Jail,40.411305,-95.519683,8
Athanum View Correctional Complex and Work Release,46.566395,-120.588805,58
Atkinson County Jail,31.295719,-82.85349,11
Atlanta City Jail,33.747234,-84.395289,453
Atlanta Transitional Center,33.773003,-84.3767,253
Atlanta USP and Atlanta Camp,33.710293,-84.367789,2389
Atlantic County Jail - Dept. Of Public Safety,39.437439,-74.693709,953
Atlantic Work Release Center,26.683416,-80.193822,92
Atoka County Jail,34.38518,-96.126971,56
Attala County Jail,33.060097,-89.590421,25
Attic Correctional Services,44.513472,-87.947256,11
Attic Correctional Services- Madison,43.051845,-89.47704,14
Attic Correctional Services- Madison,43.126041,-89.312791,18
Attica,42.849688,-78.271763,2157
Auburn,42.934596,-76.574232,1733
Audrain County Jail,39.167981,-91.819479,55
Auglaize County Jail,40.560113,-84.209391,54
Augusta Medical Corr Instit,33.433164,-82.18271,1099
Augusta-Richmond County,33.465823,-81.960187,378
Austin City Jail,30.273695,-97.746332,281
Austin County Jail,29.957905,-96.267037,26
Autauga Metro Jail,32.465298,-86.473973,181
Avalon Correctional Center,36.155312,-95.997006,241
Avenal State Prison,35.970741,-120.120932,6423
Avery County Jail,36.08639,-81.926513,30
Avon Park correctional Institution,27.66324,-81.324336,1186
Avon Park Work Camp,27.646548,-81.353488,175
Avoyelles Marksville Detention Center,31.114616,-92.069301,416
Avoyelles Simmesport Correctional Center,30.969613,-91.811912,277
B.B. Rayburn Correctional Center,30.897929,-89.826457,1125
Baca County Jail,37.412981,-102.614359,9
Bacon County Jail,31.544205,-82.468082,48
Bacon Probation Detention Center,31.535537,-82.452366,190
Bailey County Sheriffs Department,34.224464,-102.726238,56
Bainbridge Substance Abuse Treatment Center,30.984085,-84.631346,385
Baker Corr Inst and Work Camp,30.212971,-82.378958,1373
Baker County Jail,30.293223,-82.121569,270
Bakers Street Jail,29.764328,-95.356172,508
Baldwin County Jail,30.88511,-87.774451,486
Baldwin State Prison,33.024995,-83.221061,880
Ballard County Jail,36.972903,-89.083483,65
Baltimore County Jail,39.409652,-76.611334,1322
Bamberg County Jail,33.298836,-81.033969,46
Bannock County Jail,42.824847,-112.389254,254
Bannum Place Of Clarksburg,39.273997,-80.335759,23
Bannum Place of Reno,39.53854,-119.809147,23
Bannum Place of Wilmington,34.236631,-77.940086,22
Baraga Maximum Correctional Facility,46.762159,-88.508745,853
Barbour County Jail,31.884053,-85.483701,98
Bare Hill and Upstate,44.883967,-74.331008,2827
Barnes County Correctional Facility,46.927065,-98.005451,17
Barnstable County Jail and House of Correction,41.677073,-70.56854,438
Barnwell County Detention Center,33.248347,-81.352877,70
Barren County Correctional Center,36.999752,-85.914539,133
Barron County Justice Center,45.411053,-91.850504,122
Barry County Jail,36.67703,-93.867824,55
Barry County Jail,42.646692,-85.299919,79
Bartholomew County Jail,39.199868,-85.918939,174
Barton County Jail,37.495132,-94.278358,6
Barton County Jail,38.366009,-98.763065,65
Bartow County Jail,34.191399,-84.778241,594
Bartow Work Release Center,27.903708,-81.824709,78
Baseline Conservation Camp,37.900865,-120.52226,117
Bastrop County Jail,30.100934,-97.310362,300
Bates County Jail,38.257005,-94.332513,84
Bautista Conservation Camp- SCC,33.637704,-116.81466,115
Baxter County Jail,36.332703,-92.388159,51
Bay City Work Camp,29.73345,-85.060492,280
Bay County Jail - Cca,30.258952,-85.500465,979
Bay County Jail and Annex,30.225338,-85.559236,854
Bay County Law Enforcement Center,43.601372,-83.884775,177
Bay State Correctional Center,42.117355,-71.299936,318
Bayfield County Jail,46.67775,-90.893603,48
Baylor Women's Correctional Institution,39.706847,-75.582764,342
Bayou Dorcheat Correction Center (Webster Parish),32.566516,-93.410582,447
