Cistern #,Intersection,Latitude,Longitude,Volume,Date
105,Dolores & 30th,37.7422387,-122.4241773,75000,Unknown
106,Dolores & 28th,37.7454398,-122.4244851,75000,Unknown
107,Dolores & 26th,37.7486439,-122.4249379,75000,Unknown
108,Dolores & 24th,37.7518433,-122.4250874,75000,Unknown
109,Dolores & 22nd,37.754925,-122.425571,75000,Unknown
110,Dolores & 20th,37.758187,-122.425835,75000,Unknown
111,Moscow & Geneva,37.713281,-122.433628,75000,Unknown
112,Douglass & Elizabeth,37.7518279,-122.438551,75000,Unknown
113,Eureka & 21st,37.7555343,-122.4377752,75000,Unknown
114,Guerrero & Cumberland,37.7591752,-122.42365,63600,Unknown
115,Harrison & 18th,37.7616092,-122.4127681,75000,Unknown
116,19th & Folsom,37.76051,-122.415389,89092,Unknown
117,Noe & Hill,37.7554299,-122.432246,75000,Unknown
118,Noe & 24th,37.7513587473,-122.4318609014,75000,Unknown
119,Noe & 29th,37.7434325,-122.4311019,75000,Unknown
120,Precita & Alabama,37.747027,-122.410451,75000,Unknown
121,Shotwell & 22nd,37.754156,-122.419476,70700,Unknown
122,Bryant & 21st,37.7576033,-122.4095917,75000,Unknown
123,York & 19th,37.760621,-122.408858,75000,Unknown
124,York & 22nd,37.75597,-122.408488,75000,Unknown
125,Bryant & 26th,37.74958,-122.408691,75000,Unknown
126,Andover & Crescent,37.7346219712,-122.4168130383,50398,Unknown
127,Arguello & Clement,37.783009,-122.459139,75000,Unknown
128,California & Commonwealth,37.786103,-122.4558677,75000,Unknown
129,Geary & 5th,37.781277,-122.463227,75000,Unknown
130,34th & Balboa,37.7756594117,-122.4940908328,55666,Unknown
131,41st & Balboa,37.7755722242,-122.5016023591,55667,Unknown
132,Funston & California,37.7844699,-122.4720613,55665,Unknown
133,30th & Geary,37.7795989065,-122.4900316447,55665,Unknown
134,38th & Geary,37.7795509427,-122.4986572936,55666,Unknown
135,46th & Geary,37.7791211221,-122.5072339922,55667,Unknown
136,Irving & 5th,37.764236,-122.462105,75000,Unknown
137,Judah & 47th,37.7603806,-122.506999,75000,Unknown
138,Judah & 9th,37.762237,-122.466214,75000,Unknown
139,Vicente & 43rd,37.7381873,-122.501156,55668,Unknown
140,Lakeview & Josiah,37.717768,-122.453378,75000,Unknown
141,Plymouth & Sadowa,37.71232,-122.456045,75000,Unknown
142,Vienna & Persia,37.7204757,-122.4303979,75000,Unknown
143,3rd & Kirkwood,37.7380116,-122.389678,45000,Unknown
144,Kansas & Cesar Chavez,37.749331,-122.402272,75000,Unknown
145,Kansas & 20th,37.759646,-122.40307,75000,Unknown
146,Kansas & 23rd,37.754537,-122.402597,75000,Unknown
147,3rd & Oakdale,37.734859,-122.3907657,34000,Unknown
148,Fitzgerald & Hawes,37.7199213,-122.3894617,50396,Unknown
