Latitude,Longitude,Width
37.7747024934985,-122.511131484433,4
37.77502012338,-122.510901064292,4
37.7750253031785,-122.510756894567,4
37.7714506535132,-122.510485742594,4
37.7714533859213,-122.510351791198,4
37.774938325765,-122.510237858768,4
37.7743433320773,-122.510189524011,4
37.7742932277433,-122.510183977803,4
37.7739687970878,-122.510163375859,4
37.7737126338651,-122.510154659499,4
37.7735673282771,-122.51014118926,4
37.7734990600053,-122.510138020006,4
37.7726453826771,-122.510079385172,4
37.7748966607872,-122.510077174438,4
37.772504459681,-122.510069084185,4
37.7723992361183,-122.510062744773,4
37.7743417237871,-122.510058979927,4
37.7720146699664,-122.510057198601,4
37.7746664283171,-122.510051383777,4
37.7742267147145,-122.510025672196,4
37.7718856460039,-122.510021541764,4
37.7741518889865,-122.510019828655,4
37.7717585006639,-122.510008863841,4
37.7716632974006,-122.51000727922,4
37.7739512764073,-122.510003263739,4
37.7715424153171,-122.509998562861,4
37.7750573235101,-122.509969916482,4
37.7728273296306,-122.509919560521,4
37.7726710552755,-122.509904154395,4
37.7750629740894,-122.509863278373,4
37.7719176868632,-122.509843046522,4
37.7716445079509,-122.509822505626,4
37.7750431971102,-122.50970838455,4
37.7750450801709,-122.509664299747,4
37.7605170641014,-122.509498083519,4
37.7601913929735,-122.509451815682,4
37.7805816277787,-122.50945005058,4
37.7608181926765,-122.509398035086,4
37.7731842998171,-122.509344168,4
37.7606954284135,-122.509330032989,4
37.7604956636473,-122.509329492114,4
37.7637711641625,-122.509312865514,4
37.7792138173967,-122.509310094921,4
37.7733771705098,-122.509300569193,4
37.76351030418,-122.509299696626,4
37.7636174777723,-122.509282857292,4
37.7607155500113,-122.509281952349,4
37.7733801939619,-122.50925314442,4
37.759884294807,-122.509243864844,4
37.7597850008387,-122.509228639712,4
37.7596741509783,-122.509223850326,4
37.7597623477539,-122.509222652886,4
37.7596614794268,-122.509216342217,4
37.7596074608269,-122.509214881201,4
37.7595406177816,-122.509214864588,4
37.759584746696,-122.509212475259,4
37.7733795889864,-122.509200366595,4
37.7620053885736,-122.509188082818,4
37.7594713896823,-122.509187913256,4
37.7596918505514,-122.509186710148,4
37.7596407361809,-122.509181745183,4
37.759571111269,-122.509178070846,4
37.7618483320506,-122.50917772189,4
37.7594914745751,-122.509177708249,4
37.759224194224,-122.509172270667,4
37.7617708050911,-122.509170734828,4
37.7750268077692,-122.509162246597,4
37.7592414664523,-122.509160198369,4
37.7748167056171,-122.509156957318,4
37.759179132228,-122.509145973072,4
37.7745919686982,-122.509139104186,4
37.7591295006299,-122.509137465432,4
37.7745208888731,-122.509130508226,4
37.7587791976552,-122.509121721574,4
37.7608623989944,-122.509110712256,4
37.7788963529663,-122.509084778585,4
37.7738769864738,-122.509084223405,4
37.7604252460715,-122.509076883921,4
37.7603702701668,-122.508999600178,4
37.7593556554787,-122.508985878013,4
37.7746150589051,-122.508984712533,4
37.7720763039222,-122.508963871624,4
37.7587692853894,-122.508959706802,4
37.7741906275321,-122.508951455998,4
37.7719075327332,-122.508945060001,4
37.7771409589636,-122.508928263307,4
37.7603755774385,-122.508916000736,4
37.7739423822297,-122.508913237037,4
37.7752694592632,-122.508906792671,4
37.757791540748,-122.508893296573,4
37.7576189273961,-122.508875942299,4
37.7620861496896,-122.508834503155,4
37.7585019105555,-122.508798327242,4
37.7719780314039,-122.508790854299,4
37.7561029646501,-122.508777956978,4
37.7717754261179,-122.508777876355,4
37.7718196654774,-122.508777876347,4
37.7716811758005,-122.508768953384,4
37.7806245632172,-122.508703097089,4
37.773251411671,-122.508639693004,4
37.7800081381925,-122.508612220583,4
37.7639715747264,-122.508601850774,4
37.7544666834786,-122.508573887519,4
37.7639769129553,-122.508516413825,4
37.7715441159498,-122.508467097882,4
37.753607806054,-122.508453540189,4
37.7535004788576,-122.508445862177,4
37.7797010943021,-122.508440678428,4
37.7535363264903,-122.50843561579,4
37.7796202589611,-122.508430668506,4
37.7796579246713,-122.508427864858,4
37.7564986636188,-122.508413331792,4
37.7636856772509,-122.508377723134,4
37.7787595315686,-122.508365127423,4
37.753768326371,-122.508360924805,4
37.753768326371,-122.508360924805,4
37.7619705488895,-122.508359845943,4
37.7566457055131,-122.508357497572,4
37.7633502628215,-122.508353983735,4
37.7732743872469,-122.508329907161,4
37.7627191882725,-122.508308802837,4
37.7565059606627,-122.508296152224,4
37.7604056423858,-122.508290879089,4
37.7795988416807,-122.508264340954,4
37.756652594222,-122.508248791959,4
37.761771027502,-122.508246492496,4
37.7604065168831,-122.508239556702,4
37.7640234205488,-122.508237579769,4
37.7640234205488,-122.508237579769,4
37.7766154192739,-122.508236685403,4
37.7791527609309,-122.508229767482,4
37.7791500842164,-122.508178200587,4
37.779163567264,-122.508177504387,4
37.7627987629793,-122.508166346352,4
37.7789137063233,-122.508165785879,4
37.760579181106,-122.50815986988,4
37.751393015279,-122.508158699645,4
37.7513335258509,-122.508158262434,4
37.7604967826741,-122.508153974757,4
37.7759468761842,-122.508153639765,4
37.7791737487824,-122.508151741605,4
37.7625567133131,-122.508146779871,4
37.7636499175412,-122.50814192749,4
37.7775437552953,-122.508123602786,4
37.7789295303469,-122.508106462926,4
37.7800120543584,-122.508105008848,4
37.7747568149868,-122.508073538762,4
37.7745188062779,-122.508056925327,4
37.7788205636315,-122.508048563649,4
37.7742586373991,-122.508039274332,4
37.7586908149842,-122.508032687607,4
37.7771843232036,-122.50802318732,4
37.7605492737866,-122.508006856179,4
37.7604765764936,-122.5080012238,4
37.7601647328681,-122.507979481979,4
37.7771864376432,-122.507967003985,4
37.7731346768423,-122.507952339858,4
37.7597572598559,-122.507951802737,4
37.7640017042438,-122.507951428358,4
37.7730390315612,-122.507937517673,4
37.7728466492176,-122.507937441297,4
37.7574024282635,-122.507931189279,4
37.7494579320564,-122.507915558212,4
37.7601930989218,-122.507901429287,4
37.7601930989218,-122.507901429287,4
37.7745221406813,-122.507900058806,4
37.7756671487048,-122.507897204715,4
37.7743152770757,-122.507887596506,4
37.7498801477899,-122.507883225183,4
37.7742407816223,-122.507882143717,4
37.7770361978186,-122.507869561004,4
37.7640020343296,-122.507864616861,4
37.7719195366042,-122.507862758964,4
37.7718235084184,-122.507857566702,4
37.7741705900693,-122.507857337664,4
37.7561063161195,-122.50784238373,4
37.7736996092124,-122.507834630928,4
37.7578575861213,-122.507825175821,4
37.7557051061066,-122.507816210489,4
37.7556473215408,-122.507808305508,4
37.757337851095,-122.507785755945,4
37.7801554921306,-122.507771798739,4
37.776245435782,-122.5077607921,4
37.7723057186543,-122.507742720708,4
