Description,Latitude,Longitude
179002686,37.7892350328802,-122.395153862803
179002084,37.775420706711,-122.403404791479
170790452,37.7776995229633,-122.404608556416
170790060,37.7212381938463,-122.432006387715
170789972,37.7169710306637,-122.443431336458
170788548,37.7682726763619,-122.419983447697
170776913,37.7867787589097,-122.398261647342
170757117,37.7424861950899,-122.405667305759
170743025,37.7608815949553,-122.421569323299
170738270,37.7192981353952,-122.432384764371
170738195,37.7728606760218,-122.477766056728
170735088,37.7494360392756,-122.411595216432
170727239,37.7800332991006,-122.464279879446
170719957,37.7323169678772,-122.451154743104
170715193,37.7482130107284,-122.415863818297
170710698,37.774307949423,-122.458372853609
170710074,37.7814987213218,-122.404934413339
170704152,37.775420706711,-122.403404791479
170695006,37.7895016291913,-122.410271349769
170693856,37.7106886165247,-122.447596140416
170684689,37.764185882361,-122.446074883226
170682360,37.7340319720999,-122.389471535682
170677537,37.7909700100406,-122.402384024411
170660491,37.7759592691636,-122.491958145566
170655787,37.790369068882,-122.422330464198
170649003,37.7708917848848,-122.489804747862
170647530,37.7818621883021,-122.413869632554
170646065,37.7654078274267,-122.491003899271
170644122,37.7115816415732,-122.427965645504
170635911,37.734623708357,-122.475102006298
170634402,37.8054165242789,-122.415245418291
170634173,37.7703425963634,-122.436851371158
170633006,37.7604041413927,-122.463912591086
170632218,37.7912964515689,-122.40734222874
170631834,37.7341714275463,-122.387911252085
170628091,37.8013041477981,-122.424541870484
170607352,37.7802918808338,-122.500941509917
170606542,37.7652569107462,-122.481539457424
170602089,37.7805345385278,-122.408162953857
170598240,37.7698682392455,-122.422367409563
170593187,37.731010976896,-122.377002079936
170588291,37.775420706711,-122.403404791479
170586524,37.8071620563289,-122.408899279016
170584443,37.7237173829812,-122.437438118789
170583473,37.7844496612791,-122.416075285051
170581245,37.7877493946489,-122.390709004862
170579579,37.7318168390192,-122.467847128983
170560421,37.7630304437725,-122.410246127857
170555701,37.7980134745487,-122.405065483077
170552923,37.7530644943091,-122.405333200208
170551066,37.78123525699,-122.418809581375
170546459,37.7207231268789,-122.44660721495
170531701,37.7897619308836,-122.397576409113
170531369,37.78764305018,-122.403434086745
170528441,37.7772810373762,-122.462943389175
170526473,37.7163205020448,-122.437898876177
170114341,37.7143059429287,-122.469358835309
170079494,37.7761609195794,-122.405479270758
170078117,37.7139363117368,-122.435831640861
170072222,37.7825851968467,-122.415694922134
170067552,37.7763827130285,-122.394102624525
170067364,37.78764305018,-122.403434086745
170065170,37.7757824491205,-122.432040805587
170063679,37.7649968622937,-122.420580440111
170062035,37.7377539677995,-122.451605350304
170055563,37.7777903094246,-122.412834332129
170053119,37.757232227914,-122.415629332446
170048110,37.7796593150258,-122.438741737368
170029659,37.7616987104058,-122.477012148678
169001751,37.775420706711,-122.403404791479
161051960,37.7165298438451,-122.38877458521
161035588,37.745432674617,-122.401225687679
161033946,37.723484073117,-122.389054213243
161018487,37.7307202429367,-122.379903408428
161003745,37.7324430442707,-122.388078475154
160992624,37.7750203945871,-122.42260112019
160983112,37.775420706711,-122.403404791479
160977648,37.7471706659606,-122.413574507108
160976537,37.798999247001,-122.442649696374
160972789,37.7741822530143,-122.429178876168
160965803,37.7957850208314,-122.422595482535
160960756,37.7251508497015,-122.426913630332
160956012,37.793508101392,-122.397613296977
160954602,37.7442611846967,-122.387375448659
160954276,37.7779765037999,-122.409391574893
160952305,37.7825543452426,-122.397388784826
160950462,37.8078911906226,-122.410690675854
160916470,37.7282608048834,-122.444276463782
160911646,37.7863785494975,-122.395648600667
160910256,37.7937663104892,-122.43144962232
160909629,37.7663741221886,-122.452949003814
160906136,37.764029830097,-122.509399613079
160903665,37.7709281906269,-122.455290394663
160888437,37.7833088100846,-122.439480772242
160884087,37.7894107633457,-122.422139511488
160880091,37.7171734075622,-122.472570418291
160855389,37.7891758689754,-122.398319462935
160853355,37.760327629048,-122.508067688112
160847728,37.7274780810185,-122.391109751738
160833197,37.7946660680883,-122.403143342356
160832337,37.7324323864471,-122.391522893042
160830927,37.7899498165885,-122.410436716211
