Intersection,Latitude,Longitude,Size
34th & Balboa,37.7758619,-122.4941117,55666
41st & Balboa,37.7755178,-122.5016071,55667
Funston & California,37.7844699,-122.4720613,55665
30th & Geary,37.7797852,-122.4900514,55665
38th & Geary,37.779494,-122.4986695,55666
46th & Geary,37.7790692,-122.5072403,55667
Irving & 5th,37.7642329,-122.4620274,75000
Judah & 47th,37.7603806,-122.506999,75000
Judah & 9th,37.7622377,-122.4661812,75000
Vicente & 43rd,37.7381873,-122.501156,55668
Lakeview & Josiah,37.717768,-122.453378,75000
Plymouth & Sadowa,37.71232,-122.456045,75000
Vienna & Persia,37.7204757,-122.4303979,75000
3rd & Kirkwood,37.7380116,-122.389678,45000
Kansas & Army,37.7749295,-122.4194155,75000
Kansas & 20th,37.7596226,-122.4030612,75000
Kansas & 23rd,37.754512,-122.402558,75000
3rd & Oakdale,37.734859,-122.3907657,34000
Fitzgerald & Hawes,37.7199213,-122.3894617,50396
Gambier & Felton,37.7256688,-122.4213752,75000
Hamilton & Dwight,37.7224892,-122.408034,75000
Ingalls & Shafter,37.72786,-122.385119,50397
Peninsula & Blanken,37.7116103,-122.3990751,50395
Sunnydale & Sawyer,37.7116594,-122.4150783,50395
3rd & Thomas,37.7308604,-122.3921883,50397
Connecticut & 20th,37.759969,-122.3972531,75000
Pennsylvania & 22nd,37.7576593,-122.3931197,75000
South Van Ness & 20th,37.761968,-122.4172209,74292
San Bruno & 25th,37.78539,-122.411,75000
Van Ness & Post,37.729202,-122.392238,75000
Van Ness & Pine,37.729202,-122.392238,75000
Van Ness & Washington,37.729202,-122.392238,75000
Van Ness & Broadway,37.729202,-122.392238,75000
Van Ness & Union,37.729202,-122.392238,75000
Van Ness & Lombard,37.729202,-122.392238,75000
North Point & Divisadero,37.80278,-122.44341,55664
Buena Vista East & Buena Vista Terrace,37.7678936,-122.4399419,75000
Legion of Honor West,37.785174,-122.500762,75000
Legion of Honor East,37.784428,-122.500188,75000
Civic Center,37.779579,-122.413727,243000
